,BE070901,BE070902,BE070903,BE070904
"NÚMERO SECUENCIAL",582474,583437,583351,583350
"DESCRIPCIÓN DE LA SERIE","BE.Residentes en la UEM excluida España. Total pasivos","BE.Residentes en la UEM excluida España. Total pasivos en euros","BE.Residentes en la UEM excluida España. IFMs pasivos","BE.Residentes en la UEM excluida España. IFMs pasivos en euros"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"ENE 1999",181818,17296,17296,17296
"FEB 1999",27596,27596,27596,27596
"MAR 1999",20819,20819,20819,20819
"ABR 1999",14725,14725,14725,14725
"MAY 1999",19081,19081,19081,19081
"JUN 1999",45439,45439,45439,45439
"JUL 1999",16507,16507,16507,16507
"AGO 1999",16167,16167,16167,16167
"SEP 1999",1868,1868,1868,1868
"OCT 1999",6836,6836,6836,6836
"NOV 1999",7827,7827,7827,7827
"DIC 1999",3448,3448,3448,3448
"ENE 2000",4084,4084,4084,4084
"FEB 2000",1115,1115,1115,1115
"MAR 2000",10359,10359,10359,10359
"ABR 2000",5466,5466,5466,5466
"MAY 2000",15573,15573,15573,15573
"JUN 2000",8144,8144,8144,8144
"JUL 2000",11048,11048,11048,11048
"AGO 2000",13333,13333,13333,13333
"SEP 2000",11614,11614,11614,11614
"OCT 2000",17219,17219,17219,17219
"NOV 2000",0,0,0,0
"DIC 2000",0,0,0,0
"ENE 2001",0,0,0,0
"FEB 2001",0,0,0,0
"MAR 2001",0,0,0,0
"ABR 2001",0,0,0,0
"MAY 2001",0,0,0,0
"JUN 2001",0,0,0,0
"JUL 2001",0,0,0,0
"AGO 2001",0,0,0,0
"SEP 2001",0,0,0,0
"OCT 2001",0,0,0,0
"NOV 2001",0,0,0,0
"DIC 2001",0,0,0,0
"ENE 2002",0,0,0,0
"FEB 2002",0,0,0,0
"MAR 2002",0,0,0,0
"ABR 2002",0,0,0,0
"MAY 2002",0,0,0,0
"JUN 2002",0,0,0,0
"JUL 2002",0,0,0,0
"AGO 2002",0,0,0,0
"SEP 2002",0,0,0,0
"OCT 2002",0,0,0,0
"NOV 2002",0,0,0,0
"DIC 2002",0,0,0,0
"ENE 2003",0,0,0,0
"FEB 2003",0,0,0,0
"MAR 2003",0,0,0,0
"ABR 2003",0,0,0,0
"MAY 2003",0,0,0,0
"JUN 2003",0,0,0,0
"JUL 2003",0,0,0,0
"AGO 2003",0,0,0,0
"SEP 2003",0,0,0,0
"OCT 2003",0,0,0,0
"NOV 2003",0,0,0,0
"DIC 2003",0,0,0,0
"ENE 2004",0,0,0,0
"FEB 2004",0,0,0,0
"MAR 2004",0,0,0,0
"ABR 2004",0,0,0,0
"MAY 2004",0,0,0,0
"JUN 2004",0,0,0,0
"JUL 2004",0,0,0,0
"AGO 2004",0,0,0,0
"SEP 2004",0,0,0,0
"OCT 2004",0,0,0,0
"NOV 2004",0,0,0,0
"DIC 2004",0,0,0,0
"ENE 2005",0,0,0,0
"FEB 2005",0,0,0,0
"MAR 2005",0,0,0,0
"ABR 2005",0,0,0,0
"MAY 2005",0,0,0,0
"JUN 2005",0,0,0,0
"JUL 2005",0,0,0,0
"AGO 2005",0,0,0,0
"SEP 2005",0,0,0,0
"OCT 2005",0,0,0,0
"NOV 2005",0,0,0,0
"DIC 2005",0,0,0,0
"ENE 2006",0,0,0,0
"FEB 2006",0,0,0,0
"MAR 2006",0,0,0,0
"ABR 2006",0,0,0,0
"MAY 2006",0,0,0,0
"JUN 2006",0,0,0,0
"JUL 2006",0,0,0,0
"AGO 2006",0,0,0,0
"SEP 2006",0,0,0,0
"OCT 2006",0,0,0,0
"NOV 2006",0,0,0,0
"DIC 2006",0,0,0,0
"ENE 2007",0,0,0,0
"FEB 2007",0,0,0,0
"MAR 2007",0,0,0,0
"ABR 2007",0,0,0,0
"MAY 2007",0,0,0,0
"JUN 2007",0,0,0,0
"JUL 2007",0,0,0,0
"AGO 2007",0,0,0,0
"SEP 2007",0,0,0,0
"OCT 2007",0,0,0,0
"NOV 2007",1007,1007,1007,1007
"DIC 2007",3275,3275,3275,3275
"ENE 2008",8758,8758,8758,8758
"FEB 2008",8820,8820,8820,8820
"MAR 2008",1523,1523,1523,1523
"ABR 2008",17393,17393,17393,17393
"MAY 2008",13950,13950,13950,13950
"JUN 2008",11894,11894,11894,11894
"JUL 2008",19917,19917,19917,19917
"AGO 2008",25539,25539,25539,25539
"SEP 2008",23970,23970,23970,23970
"OCT 2008",18330,18330,18330,18330
"NOV 2008",26461,26461,26461,26461
"DIC 2008",34989,34989,34989,34989
"ENE 2009",32550,32550,32550,32550
"FEB 2009",37522,37522,37522,37522
"MAR 2009",32140,32140,32140,32140
"ABR 2009",25761,25761,25761,25761
"MAY 2009",26939,26939,26939,26939
"JUN 2009",35260,35260,35260,35260
"JUL 2009",39275,39275,39275,39275
"AGO 2009",45375,45375,45375,45375
"SEP 2009",47376,47376,47376,47376
"OCT 2009",41211,41211,41211,41211
"NOV 2009",29553,29553,29553,29553
"DIC 2009",41135,41135,41135,41135
"ENE 2010",37405,37405,37405,37405
"FEB 2010",41702,41702,41702,41702
"MAR 2010",43305,43305,43305,43305
"ABR 2010",35739,35739,35739,35739
